title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount
US sees 3rd highest day in new COVID-19 cases l ABC News,i1Bm6cmY6Ro,23688,1993,645,2111,0
COVID-19 update: Trudeau addresses Canadians | Special coverage,9byorXCv9D0,2989,276,151,0,0
Conferencia Covid-19 Mexico - 24 junio 2020,0nQILXVQ5Wc,70683,301,121,57,0
Hybrid Hearing - Capital Markets and Emergency Lending in the COVID-19 Era (EventID=110830),BmGVXkpFnDw,206,12,0,0,0
Record-breaking spike in new COVID-19 cases causes several states to consider pausing reopenings,O8IUg4T7B00,5463,382,225,586,0
Covid-19: what you need to know about the second wave | The Economist,uOY32cU0ePc,143644,2734,250,510,0
A Bad Poll For Trump And Worst Day For COVID-19 Cases Yet In U.S. | The 11th Hour | MSNBC,NxkhUyZcZ98,396758,5970,272,3411,0
Florida hits 1-day record for new COVID-19 cases,P6QWuwseh5Q,98472,765,442,1227,0
Woman With COVID-19 Symptoms for 100 Days Still Can't Taste,QuO4ITatrbk,80166,3619,121,709,0
Will The New COVID-19 Surge Be As Devastating As Last Spring's? | NBC Nightly News,RALFhJCukrU,61292,157,11,56,0
Commission d&#39;enquete Covid-19: Didier Raoult etrille le conseil scientifique et la strategie sur,fBLW3pxghHc,108277,2617,75,763,0
"D.L. Hughley - Fighting COVID &amp; ""Surrender, White People!"" | The Daily Social Distancing Show",MLNy19_uEWY,193450,5499,152,766,0
Covid-19 : flambee de contaminations dans le sud des Etats-Unis,Q3Ducf9dzC4,24075,131,33,129,0
Vacina contra COVID-19 entra em teste no BR e BC suspende WhatsApp Pagamentos - Hoje no TecMundo,7bkWa23PFXg,30008,4073,59,123,0
State efforts to now fight Covid-19 will take two weeks to slow spread,PTWpoLMl488,2997,82,7,40,0
Some states pause reopening after concerning surge in Covid-19 cases,F3PmDOzA9Uo,1050,83,67,91,0
"UK must prepare for second virus wave, health leaders - Covid-19 Top stories this morning - BBC",St_g6HbZApE,291666,1306,1513,3505,0
Tin tuc dich benh corona ( Covid-19 ) sang 25/6 Tin tong hop virus corona Viet Nam dai dich Vu Han,JvEtiwO4Lgg,193870,388,105,22,0
How COVID-19 will impact the UK economy compared to other countries,KYWEZiSAXQA,71387,267,404,364,0
"Tin tuc dich Covid-19 moi nhat ngay 25 thang 6,2020 | Tong hop tin virus Corona hom nay | FBNC",n0qfhPQozDg,67156,245,35,25,0
"Latest updates on COVID-19: June 24, 2020",u0MxZATi1T0,15838,188,20,113,0
"Ezekiel Elliott recovering from COVID-19, still can&#39;t work out | Pro Football Talk | NBC Sports",doEJGtCh4o4,190,8,3,4,0
Mexico sale del confinamiento por Covid-19 durante sismo 23 junio 2020 - En Punto,umA7su4JUCM,188233,1098,172,300,0
Conferencia Covid-19 Mexico - 23 junio 2020,I9z6N_RU7IQ,53457,233,97,74,0
"NY Gov. Cuomo COVID-19 briefing with NJ Gov. Murphy, CT Gov. Lamont",EDAzzscVssI,43924,343,100,207,0
